timestamp,service,region,resource_id,cost_usd,cpu_usage_pct
2026-02-25 23:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.3354,33.54
2026-02-25 23:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.8215,30.81
2026-02-25 23:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.8099,32.58
2026-02-25 23:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.1085,
2026-02-25 23:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0366,
2026-02-26 00:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.3035,30.35
2026-02-26 00:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.7708,28.9
2026-02-26 00:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.7093,30.76
2026-02-26 00:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.0993,
2026-02-26 00:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0317,
2026-02-26 01:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.2797,27.96
2026-02-26 01:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.7329,27.48
2026-02-26 01:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.4742,26.53
2026-02-26 01:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.0914,
2026-02-26 01:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0312,
2026-02-26 02:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.2834,28.33
2026-02-26 02:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.7111,26.66
2026-02-26 02:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.4955,26.91
2026-02-26 02:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.0914,
2026-02-26 02:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0305,
2026-02-26 03:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.2831,28.3
2026-02-26 03:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.702,26.31
2026-02-26 03:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.4667,26.39
2026-02-26 03:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.092,
2026-02-26 03:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0316,
2026-02-26 04:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.2984,29.82
2026-02-26 04:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.7639,28.63
2026-02-26 04:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.5908,28.61
2026-02-26 04:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.0961,
2026-02-26 04:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0319,
2026-02-26 05:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.3373,33.7
2026-02-26 05:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.8291,31.06
2026-02-26 05:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.8554,33.37
2026-02-26 05:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.1107,
2026-02-26 05:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0352,
2026-02-26 06:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.376,37.56
2026-02-26 06:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.9247,34.64
2026-02-26 06:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.9177,34.48
2026-02-26 06:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.1184,
2026-02-26 06:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0401,
2026-02-26 07:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.4023,40.18
2026-02-26 07:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,1.1285,42.27
2026-02-26 07:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,2.3046,41.44
2026-02-26 07:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.1305,
2026-02-26 07:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0444,
2026-02-26 08:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.4544,45.38
